from_code,from_lat,from_lng,from_name,name,number,rescheduled_date,rescheduled_time,time_diff,to_code,to_lat,to_lng,to_name
G,21.455228,80.1962729,GONDIA JN,GONDIA - BJU EXPRESS,15232,10-08-2018,22:45,01:45,BJU,25.4676424,85.9904136,BARAUNI JN
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,POORBIYA EXP.,15280,10-08-2018,19:00,01:50,SHC,26.0,86.75,SAHARSA JN
JAT,32.7060401,74.8799925,JAMMU TAWI,JAMMU GHY EXPRES,15654,11-08-2018,02:15,03:30,GHY,26.1805978,91.753943,GUWAHATI
DLI,37.3690819,97.36011,DELHI,CHAMPARAN HUMSAFAR EXP,15706,11-08-2018,04:00,14:15,KIR,25.5433817,87.5690417,KATIHAR JN
TVC,8.4869485,76.9525968,THIRUVANANTHAPURAM CENTRAL,TVC-MDU AMRITHA EXPRESS,16343,10-08-2018,23:30,01:00,MDU,9.9261153,78.1140983,MADURAI JN
CAN,11.8762254,75.3738043,KANNUR,CAN-KAWR-SBC EXP,16518,11-08-2018,00:00,07:20,SBC,13.06178495,77.6102415504,KSR BENGALURU
CPR,25.7784105,84.7514507,CHHAPRA,CPR-TATA EXP,18182,10-08-2018,16:00,03:25,TATA,22.8015194,86.2029579,TATANAGAR JN
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,ANVT-BGP GARIB RATH,22406,10-08-2018,23:50,06:55,BGP,25.2494829,86.9828131,BHAGALPUR
GAYA,24.7964355,85.0079563,GAYA JN,GAYA-KIUL PASS,53632,10-08-2018,23:30,02:35,KIUL,24.7814656,86.0694724,KIUL JN
KIR,25.5433817,87.5690417,KATIHAR JN,KIR-BJU PASSENGER,55221,10-08-2018,20:00,02:25,BJU,25.4676424,85.9904136,BARAUNI JN
PNBE,25.6093239,85.1235252,PATNA JN,KAMLA GANGA FAST PASS,55528,10-08-2018,16:30,01:00,JYG,26.5881,86.1399,JAYNAGAR
KRYP,,,KADIRIDEVARA PALLI,KYND-TPTY PASS,57478,10-08-2018,14:45,01:20,TPTY,13.6316368,79.4231711,TIRUPATI
ABKP,23.1226343,83.1981886,AMBIKAPUR,ABKP-JBP EXP,11266,12-08-2018,07:15,01:00,JBP,23.1608938,79.9497702,JABALPUR
BDCR,17.6688019,80.8940083,BHADRACHALAM RD,BZA PASS,67246,12-08-2018,15:45,02:00,BZA,16.5087586,80.6185102,VIJAYAWADA JN
ABKP,23.1226343,83.1981886,AMBIKAPUR,ABKP-JBP EXP,11266,13-08-2018,07:15,01:00,JBP,23.1608938,79.9497702,JABALPUR
BDCR,17.6688019,80.8940083,BHADRACHALAM RD,BZA PASS,67246,13-08-2018,15:45,02:00,BZA,16.5087586,80.6185102,VIJAYAWADA JN
BJP,16.8269911,75.7175387,BIJAPUR,BJP-UBL SPL,06920,11-08-2018,14:50,01:20,UBL,15.3518378,75.1379848,HUBLI JN
GKP,26.75845,83.3752175,GORAKHPUR,GKP-LTT EXPRESS,11080,11-08-2018,13:00,07:30,LTT,19.069143,72.8922731,LOKMANYATILAK
ABKP,23.1226343,83.1981886,AMBIKAPUR,ABKP-JBP EXP,11266,11-08-2018,07:15,01:00,JBP,23.1608938,79.9497702,JABALPUR
UBL,15.3518378,75.1379848,HUBLI JN,GDG-SUR EXPRESS,11424,11-08-2018,15:45,00:45,SUR,17.6715272,75.8975502,SOLAPUR JN
UBL,15.3518378,75.1379848,HUBLI JN,JAN SHATABDI EXP,12080,11-08-2018,14:20,00:20,SBC,13.06178495,77.6102415504,KSR BENGALURU
LTT,19.069143,72.8922731,LOKMANYATILAK,LTT-PPTA EXPRESS,12141,12-08-2018,01:10,01:35,PPTA,19.1302585,72.8252967553,PATLIPUTRA
HWH,22.5882216,88.323139,HOWRAH JN,VIBHUTI EXPRESS,12333,11-08-2018,23:00,03:00,ALY,25.4394887,81.8498592,ALLAHABAD CITY
HWH,22.5882216,88.323139,HOWRAH JN,KUMBHA EXPRESS,12369,11-08-2018,14:00,01:00,HW,29.9384473,78.1452985,HARIDWAR JN
ASR,31.6343083,74.8736788,AMRITSAR JN,ASR-NED SACHKHAND EXP,12716,11-08-2018,08:45,03:10,NED,18.916667,77.5,NANDED
ASR,31.6343083,74.8736788,AMRITSAR JN,ASR HWH EXPRESS,13050,11-08-2018,19:30,01:20,HWH,22.5882216,88.323139,HOWRAH JN
DNR,25.6358901,85.0474045,DANAPUR,JAN SADHARAN EXP,13257,11-08-2018,17:45,02:00,ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,JAN SADHARAN EXP,13258,11-08-2018,15:30,02:00,DNR,25.6358901,85.0474045,DANAPUR
BSB,25.3356491,83.0076292,VARANASI JN,BSB-SGRL INTERCITY EXP,13345,11-08-2018,16:30,02:20,SGRL,24.1974432,82.6661453,SINGRAULI
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,ANVT-MLDT WKLY EXPRESS,13430,11-08-2018,18:20,01:10,MLDT,25.0168233,88.1299053,MALDA TOWN
ASR,31.6343083,74.8736788,AMRITSAR JN,SARYUYAMUNA EXP,14650,11-08-2018,17:45,05:50,JYG,26.5881,86.1399,JAYNAGAR
MUV,25.3001107,82.9648751,MANDUADIH,MUV-JBP EXPRESS,15117,11-08-2018,11:05,02:40,JBP,23.1608938,79.9497702,JABALPUR
APDJ,26.4851573,89.5246926,ALIPUR DUAR JN,SIKKIM MAHANANDA EXPRESS,15483,11-08-2018,11:25,02:00,DLI,37.3690819,97.36011,DELHI
TVC,8.4869485,76.9525968,THIRUVANANTHAPURAM CENTRAL,TVC-MDU AMRITHA EXPRESS,16343,11-08-2018,23:30,01:00,MDU,9.9261153,78.1140983,MADURAI JN
MDU,9.9261153,78.1140983,MADURAI JN,MDU-TVC AMRITHA EXPRESS,16344,11-08-2018,17:30,01:45,TVC,8.4869485,76.9525968,THIRUVANANTHAPURAM CENTRAL
SBC,13.06178495,77.6102415504,KSR BENGALURU,SBC-CAN EXPRESS,16511,11-08-2018,23:00,03:45,CAN,11.8762254,75.3738043,KANNUR
FBD,27.5,79.5,FARRUKHABAD,CPA-CPR EXP,18192,11-08-2018,16:10,02:35,CPR,25.7784105,84.7514507,CHHAPRA
MURI,47.2756613,8.3377829,MURI,JAT MURI SBP EXPRESS,18310,11-08-2018,13:10,05:00,SBP,21.4,83.883333,SAMBALPUR
BGP,25.2494829,86.9828131,BHAGALPUR,BGP-ANVT GARIB RATH,22405,11-08-2018,21:00,07:30,ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL
TVC,8.4869485,76.9525968,THIRUVANANTHAPURAM CENTRAL,TVC-NZM WKLY SF EXP,22653,11-08-2018,01:30,01:00,NZM,28.58886,77.253766,HAZRAT NIZAMUDDIN
JHS,25.44715405,78.566749703,JHANSI JN,JHS-BNDA PASS,51807,11-08-2018,14:30,02:00,BNDA,52.5198535,13.4385964,BANDA JN
JHS,25.44715405,78.566749703,JHANSI JN,JHS-AGC PASS,51815,11-08-2018,09:31,02:01,AGC,27.1752554,78.0098161,AGRA CANTT
AGC,27.1752554,78.0098161,AGRA CANTT,AGC-JHS PASS,51816,11-08-2018,16:00,01:15,JHS,25.44715405,78.566749703,JHANSI JN
GWL,26.2037247,78.1573628,GWALIOR JN.,BIN-GWL PASS,51884,11-08-2018,10:00,01:30,BINA,48.3705109,12.370698,BINA JN
HWH,22.5882216,88.323139,HOWRAH JN,HWH-RGD PASSENGER,53043,11-08-2018,14:00,02:50,RGD,25.0306,85.4199,RAJGIR
FBD,27.5,79.5,FARRUKHABAD,FBD-CNB PASSENGER,54156,11-08-2018,12:10,02:00,CNB,26.4547354,80.3506961,KANPUR CENTRAL
BSB,25.3356491,83.0076292,VARANASI JN,BSB-LKO PASS,54255,11-08-2018,08:00,02:00,LKO,26.8381,80.9346001,LUCKNOW
LKO,26.8381,80.9346001,LUCKNOW,LKO-BSB PASS,54256,11-08-2018,14:00,02:50,BSB,25.3356491,83.0076292,VARANASI JN
PRG,25.4689167,81.8677005,PRAYAG,PRG-BE PASS.,54371,11-08-2018,05:00,01:00,FD,26.75,82.0,FAIZABAD JN
PRG,25.4689167,81.8677005,PRAYAG,PRG-FD PASSENGER,54373,11-08-2018,09:00,01:15,FD,26.75,82.0,FAIZABAD JN
PRG,25.4689167,81.8677005,PRAYAG,PRAYAG- BAREILLY PASS,54377,11-08-2018,03:30,02:35,BE,28.3523609,79.4096542,BAREILLY
UMB,30.3843674,76.770421,AMBALA CANT JN,AMBALA DELHI PASSENGER,54540,11-08-2018,15:35,01:00,NZM,28.58886,77.253766,HAZRAT NIZAMUDDIN
GKP,26.75845,83.3752175,GORAKHPUR,GKP-CPR PASSANGER,55020,11-08-2018,11:30,03:00,CPR,25.7784105,84.7514507,CHHAPRA
NTV,27.4272664,83.418656,NAUTANWA,NTV-GKP PASSENGER,55044,11-08-2018,08:00,01:45,GKP,26.75845,83.3752175,GORAKHPUR
LJN,26.8311093,80.9243976,LUCKNOWJN,LJN-JEA  PASSENGER,55050,11-08-2018,06:35,01:20,JEA,26.802234,83.3604681,NAKAHA JUNGLE
MUV,25.3001107,82.9648751,MANDUADIH,MUV-BTT PASSENGER,55122,11-08-2018,07:30,01:00,BTT,26.3815594,83.9333475,BHATNI JN
CPR,25.7784105,84.7514507,CHHAPRA,CPR-BSB PASSENGER,55131,11-08-2018,08:30,01:00,BCY,25.3346395,83.0145644,VARANASI CITY
PNBE,25.6093239,85.1235252,PATNA JN,KAMLA GANGA FAST PASS,55528,11-08-2018,15:50,00:20,JYG,26.5881,86.1399,JAYNAGAR
KIK,10.916667,79.75,KARAIKAL,KIK-TPJ PASSR,56711,11-08-2018,13:15,00:45,TPJ,10.7904833,78.7046725,TIRUCHCHIRAPALI
KRYP,,,KADIRIDEVARA PALLI,KYND-TPTY PASS,57478,11-08-2018,14:40,01:15,TPTY,13.6316368,79.4231711,TIRUPATI
RNC,23.3700354,85.3250132,RANCHI,HTE-BOA PASS,58164,11-08-2018,17:30,02:08,GBA,22.70966845,87.1692887119,GARHBETA
HSR,29.168807,75.7461103,HISAR,HSR-JP PASS.,59722,11-08-2018,14:55,00:50,JP,26.916194,75.820349,JAIPUR
BZA,16.5087586,80.6185102,VIJAYAWADA JN,BZA-BDCR PASS,67245,11-08-2018,10:00,02:00,BDCR,17.6688019,80.8940083,BHADRACHALAM RD
BDCR,17.6688019,80.8940083,BHADRACHALAM RD,BZA PASS,67246,11-08-2018,15:45,02:00,BZA,16.5087586,80.6185102,VIJAYAWADA JN
GKP,26.75845,83.3752175,GORAKHPUR,GKP-NTV -DMU-PASS,75013,11-08-2018,08:45,02:30,NTV,27.4272664,83.418656,NAUTANWA
BJU,25.4676424,85.9904136,BARAUNI JN,BJU-SC EXAM SPECIAL,05213,10-08-2018,09:30,02:25,SC,17.4690889,78.5059176,SECUNDERABAD JN
SC,17.4690889,78.5059176,SECUNDERABAD JN,SC-DBG EXAM SPECIAL,05590,10-08-2018,23:55,03:55,DBG,26.1569653,85.8995119,DARBHANGA JN
HWH,22.5882216,88.323139,HOWRAH JN,HWH MUMBAI MAIL,12321,10-08-2018,22:45,00:45,CSMT,19.0543469,72.8703314308,C SHIVAJI MAHARAJ T
HWH,22.5882216,88.323139,HOWRAH JN,UPASANA EXPRESS,12327,10-08-2018,14:35,01:35,DDN,30.3255646,78.0436813,DEHRADUN
HWH,22.5882216,88.323139,HOWRAH JN,HIMGIRI EXPRESS,12331,11-08-2018,00:40,00:45,JAT,32.7060401,74.8799925,JAMMU TAWI
ALY,25.4394887,81.8498592,ALLAHABAD CITY,VIBHUTI EXPRESS,12334,10-08-2018,20:15,04:35,HWH,22.5882216,88.323139,HOWRAH JN
KOAA,22.5677459,88.3476023,KOLKATA,PRATAP EXPRESS,12496,10-08-2018,23:45,01:00,BKN,28.0159286,73.3171367,BIKANER JN
GKP,26.75845,83.3752175,GORAKHPUR,RAPTISAGAR EXPRESS,12511,10-08-2018,08:05,01:30,TVC,8.4869485,76.9525968,THIRUVANANTHAPURAM CENTRAL
LTT,19.069143,72.8922731,LOKMANYATILAK,LTT-GKP-SUPER-FAST,12542,10-08-2018,13:30,02:20,GKP,26.75845,83.3752175,GORAKHPUR
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,ANVT HTE  EXPRESS,12874,10-08-2018,21:30,01:45,HTE,23.2991479,85.3234589,HATIA
BE,28.3523609,79.4096542,BAREILLY,BE - NBVJ EXP.,14321,10-08-2018,12:00,06:00,BHUJ,23.2472446,69.668339,BHUJ
GCT,25.58363,83.5681593,GHAZIPUR CITY,GCT-SVDK EXP,14611,10-08-2018,11:30,03:00,SVDK,32.9828033,74.9351643,SH MATA V DEVI KATRA
JYG,26.5881,86.1399,JAYNAGAR,SARYUYAMUNA EXP,14649,10-08-2018,08:15,01:00,ASR,31.6343083,74.8736788,AMRITSAR JN
DBG,26.1569653,85.8995119,DARBHANGA JN,DBG-ASR JANNAYAK EXP,15211,10-08-2018,22:20,05:00,ASR,31.6343083,74.8736788,AMRITSAR JN
G,21.455228,80.1962729,GONDIA JN,GONDIA - BJU EXPRESS,15232,10-08-2018,22:45,01:45,BJU,25.4676424,85.9904136,BARAUNI JN
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,POORBIYA EXP.,15280,10-08-2018,19:00,01:50,SHC,26.0,86.75,SAHARSA JN
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,ANVT - KYQ EXPRESS,15622,11-08-2018,05:15,05:30,KYQ,26.1666801,91.7053530389,KAMAKHYA
JAT,32.7060401,74.8799925,JAMMU TAWI,JAMMU GHY EXPRES,15654,11-08-2018,02:15,03:30,GHY,26.1805978,91.753943,GUWAHATI
DLI,37.3690819,97.36011,DELHI,CHAMPARAN HUMSAFAR EXP,15706,11-08-2018,04:00,14:15,KIR,25.5433817,87.5690417,KATIHAR JN
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,ANVT-BGP GARIB RATH,22406,10-08-2018,23:50,06:55,BGP,25.2494829,86.9828131,BHAGALPUR
ABKP,23.1226343,83.1981886,AMBIKAPUR,ABKP-JBP EXP,11266,12-08-2018,07:15,01:00,JBP,23.1608938,79.9497702,JABALPUR
MDU,9.9261153,78.1140983,MADURAI JN,MDU-TVC AMRITHA EXPRESS,16344,12-08-2018,17:30,01:45,TVC,8.4869485,76.9525968,THIRUVANANTHAPURAM CENTRAL
BDCR,17.6688019,80.8940083,BHADRACHALAM RD,BZA PASS,67246,12-08-2018,15:45,02:00,BZA,16.5087586,80.6185102,VIJAYAWADA JN
ABKP,23.1226343,83.1981886,AMBIKAPUR,ABKP-JBP EXP,11266,13-08-2018,07:15,01:00,JBP,23.1608938,79.9497702,JABALPUR
BDCR,17.6688019,80.8940083,BHADRACHALAM RD,BZA PASS,67246,13-08-2018,15:45,02:00,BZA,16.5087586,80.6185102,VIJAYAWADA JN
RXL,26.9833256,84.8523069,RAXAUL JN,RXL-HYB,07006,12-08-2018,08:30,07:00,HYB,17.3931097,78.4675629,HYDERABAD DECAN
ABKP,23.1226343,83.1981886,AMBIKAPUR,ABKP-JBP EXP,11266,12-08-2018,07:15,01:00,JBP,23.1608938,79.9497702,JABALPUR
LJN,26.8311093,80.9243976,LUCKNOWJN,LJN-PUNE EXPRESS,12104,12-08-2018,08:00,01:30,PUNE,18.5203062,73.8543185,PUNE JN
DLI,37.3690819,97.36011,DELHI,SIKKIM MAHANANDA EXPRESS,15484,12-08-2018,10:15,03:40,APDJ,26.4851573,89.5246926,ALIPUR DUAR JN
MDU,9.9261153,78.1140983,MADURAI JN,MDU-TVC AMRITHA EXPRESS,16344,12-08-2018,17:30,01:45,TVC,8.4869485,76.9525968,THIRUVANANTHAPURAM CENTRAL
FD,26.75,82.0,FAIZABAD JN,FD-LKO PASSENGER,54231,12-08-2018,06:40,01:00,LKO,26.8381,80.9346001,LUCKNOW
FD,26.75,82.0,FAIZABAD JN,FD-MUR PASS,54238,12-08-2018,08:00,03:15,MUR,28.0589818,79.3086183,MANKAPUR JN
PRG,25.4689167,81.8677005,PRAYAG,PRG-BE PASS.,54371,12-08-2018,05:45,01:45,FD,26.75,82.0,FAIZABAD JN
LJN,26.8311093,80.9243976,LUCKNOWJN,LJN-JEA  PASSENGER,55050,12-08-2018,06:35,01:20,JEA,26.802234,83.3604681,NAKAHA JUNGLE
NJP,26.6838881,88.4460283619,NEW JALPAIGURI,NJP - RNY PASSENGER,55713,12-08-2018,09:45,02:00,RNY,26.4467608,91.60698,RANGIYA JN
BJP,16.8269911,75.7175387,BIJAPUR,BJP-SUR PASSENGER,57686,12-08-2018,01:25,01:20,SUR,17.6715272,75.8975502,SOLAPUR JN
